Laranjeiras,Carapina,Camburi,Sua,VixCentro,Ibes,VVCentro,Cariacica
24.0000,14.5833,16.1250,20.6667,18.0833,15.5417,21.3333,31.1667
21.7917,14.5000,22.5000,26.5417,21.5417,17.4167,17.5417,32.6250
31.7083,19.3333,28.2917,29.0417,28.2917,28.9167,39.8333,50.5417
24.5833,22.9583,21.3750,20.8750,23.7917,19.2917,26.9583,38.1250
34.5417,19.5000,28.9583,31.9583,31.1667,21.3333,37.9167,46.7083
37.0000,17.1667,26.1250,29.0833,33.3333,23.4167,38.2917,40.4167
35.2083,20.9167,27.8333,23.3333,25.7083,20.7083,36.5833,33.5833
48.3333,21.5417,28.2500,31.3333,31.7083,24.5000,36.9583,47.8750
41.6250,19.0000,16.7500,29.8333,29.5833,20.2083,24.1667,44.2083
55.8750,25.7500,25.2083,36.1667,34.2083,32.6250,42.2917,68.8333
62.1250,27.8333,27.7083,40.5000,35.4167,29.5417,51.8333,55.1667
40.8750,25.0417,31.5417,42.9583,26.4583,27.7083,35.1667,44.3333
22.7917,21.8333,22.8750,25.5417,18.5417,16.1667,37.5000,36.5833
24.8333,29.0000,36.6250,29.2083,25.9583,20.2500,53.1250,39.7500
52.0000,22.3333,25.7917,23.8750,25.2083,28.4167,22.2500,55.0833
62.7917,22.4583,18.8750,24.1250,26.1667,32.5000,21.2917,57.9167
52.7917,23.9583,28.5417,31.3333,32.2500,26.7083,39.8333,52.5417
39.9167,18.8750,27.6250,21.2917,27.0833,31.1250,29.3333,53.4583
53.2083,25.7917,29.2500,32.7500,36.1667,30.3750,45.5833,56.2917
53.7917,27.3333,32.4167,37.6667,41.0833,35.8333,46.3750,71.6667
51.0000,30.3333,40.4167,68.5417,54.7500,38.4583,52.6250,72.6667
34.2083,34.7500,48.7917,29.9583,34.6667,27.9583,55.7083,53.5000
30.4583,36.2500,41.5833,27.4167,26.0417,24.2083,32.8333,53.4583
20.1667,27.1250,23.8750,23.5417,24.1250,16.4583,45.0833,39.0417
36.1250,22.0417,28.1250,33.8333,37.2083,30.2500,32.0000,48.7500
39.7500,19.3750,25.9583,27.1667,24.5833,19.0000,42.3333,36.2083
24.4583,11.5417,19.2917,15.7083,13.8333,11.6667,27.2083,23.4583
18.0417,13.2917,21.8750,16.7917,15.8333,13.8333,37.6250,26.8333
40.8333,23.7917,32.7917,27.2500,24.4583,24.3750,46.2917,38.5833
25.5417,29.6667,29.8333,25.9583,23.3333,22.5417,27.5417,42.7500
12.5000,12.3750,15.5833,14.2500,14.0833,13.2083,18.6250,20.0417
23.2917,10.7500,23.5000,23.6667,27.1667,24.7500,24.8333,37.1667
40.4583,21.0417,33.0833,29.8333,32.5000,29.1667,35.7917,45.6667
56.9167,22.2083,35.3750,29.0417,32.9583,23.5000,33.9583,52.6250
25.2500,25.4167,33.8750,26.1250,33.7917,27.2083,77.9167,44.1250
15.2500,13.2083,17.4167,15.0000,15.1667,11.7500,31.4167,21.8333
13.4167,13.0417,13.1667,12.3333,12.0000,11.0000,16.2917,19.6250
17.2083,15.3750,21.0417,18.3333,19.1250,20.5833,33.2917,27.1667
14.5833,12.9167,15.4583,14.4167,15.0000,13.6667,24.2500,23.6667
